"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4058","Verify cart icon navigation","firefox","2026-06-01","passed","2026-06-01","Verify Product Page","verifyProductPage.spec.ts","",""
"","2397","to verify login page with valid data","firefox","2026-06-01","passed","2026-06-01","","verifyLoginPage.spec.ts","",""
"","2615","Login Data locked_out_user","firefox","2026-06-01","passed","2026-06-01","","verifyLoginPage.spec.ts","",""
"","2484","Login Data visual_user","webkit","2026-06-01","passed","2026-06-01","","verifyLoginPage.spec.ts","",""
"","2422","Add multiple products to cart","webkit","2026-06-01","passed","2026-06-01","Verify Product Page","verifyProductPage.spec.ts","",""
"","3988","Login Data standard_user","firefox","2026-06-01","passed","2026-06-01","","verifyLoginPage.spec.ts","",""
"","1885","Login Data locked_out_user","chromium","2026-06-01","passed","2026-06-01","","verifyLoginPage.spec.ts","",""
"","2933","Login Data standard_user","webkit","2026-06-01","passed","2026-06-01","","verifyLoginPage.spec.ts","",""
"","4888","Remove product from cart","firefox","2026-06-01","passed","2026-06-01","Verify Product Page","verifyProductPage.spec.ts","",""
"","1871","Add multiple products to cart","chromium","2026-06-01","passed","2026-06-01","Verify Product Page","verifyProductPage.spec.ts","",""
"","1920","to verify login page with valid data","chromium","2026-06-01","passed","2026-06-01","","verifyLoginPage.spec.ts","",""
"","1749","Login Data visual_user","firefox","2026-06-01","passed","2026-06-01","","verifyLoginPage.spec.ts","",""
"","2625","Login Data error_user","firefox","2026-06-01","passed","2026-06-01","","verifyLoginPage.spec.ts","",""
"","1433","Verify product details page","chromium","2026-06-01","passed","2026-06-01","Verify Product Page","verifyProductPage.spec.ts","",""
"","2651","Login Data problem_user","webkit","2026-06-01","passed","2026-06-01","","verifyLoginPage.spec.ts","",""
"","7030","Login Data performance_glitch_user","webkit","2026-06-01","passed","2026-06-01","","verifyLoginPage.spec.ts","",""
"","1507","Verify cart icon navigation","chromium","2026-06-01","passed","2026-06-01","Verify Product Page","verifyProductPage.spec.ts","",""
"","1923","Login Data problem_user","chromium","2026-06-01","passed","2026-06-01","","verifyLoginPage.spec.ts","",""
"","3010","to verify login page with valid data","webkit","2026-06-01","passed","2026-06-01","","verifyLoginPage.spec.ts","",""
"","2987","Login Data locked_out_user","webkit","2026-06-01","passed","2026-06-01","","verifyLoginPage.spec.ts","",""
"","1804","Verify all products are displayed after login","chromium","2026-06-01","passed","2026-06-01","Verify Product Page","verifyProductPage.spec.ts","",""
"","1913","Login Data standard_user","chromium","2026-06-01","passed","2026-06-01","","verifyLoginPage.spec.ts","",""
"","1977","Verify cart icon navigation","webkit","2026-06-01","passed","2026-06-01","Verify Product Page","verifyProductPage.spec.ts","",""
"","3724","Login Data problem_user","firefox","2026-06-01","passed","2026-06-01","","verifyLoginPage.spec.ts","",""
"","3536","Add multiple products to cart","firefox","2026-06-01","passed","2026-06-01","Verify Product Page","verifyProductPage.spec.ts","",""
"","1471","Login Data invalid_user","firefox","2026-06-01","passed","2026-06-01","","verifyLoginPage.spec.ts","",""
"","2043","Add single product to cart","firefox","2026-06-01","passed","2026-06-01","Verify Product Page","verifyProductPage.spec.ts","",""
"","1539","Login Data invalid_user","chromium","2026-06-01","passed","2026-06-01","","verifyLoginPage.spec.ts","",""
"","1453","Login Data visual_user","chromium","2026-06-01","passed","2026-06-01","","verifyLoginPage.spec.ts","",""
"","1353","Login Data error_user","chromium","2026-06-01","passed","2026-06-01","","verifyLoginPage.spec.ts","",""
"","1944","Verify product details page","webkit","2026-06-01","passed","2026-06-01","Verify Product Page","verifyProductPage.spec.ts","",""
"","6331","Login Data performance_glitch_user","chromium","2026-06-01","passed","2026-06-01","","verifyLoginPage.spec.ts","",""
"","2303","Login Data error_user","webkit","2026-06-01","passed","2026-06-01","","verifyLoginPage.spec.ts","",""
"","9052","Login Data performance_glitch_user","firefox","2026-06-01","passed","2026-06-01","","verifyLoginPage.spec.ts","",""
"","1560","Remove product from cart","chromium","2026-06-01","passed","2026-06-01","Verify Product Page","verifyProductPage.spec.ts","",""
"","1641","Add single product to cart","webkit","2026-06-01","passed","2026-06-01","Verify Product Page","verifyProductPage.spec.ts","",""
"","2031","Login Data invalid_user","webkit","2026-06-01","passed","2026-06-01","","verifyLoginPage.spec.ts","",""
"","2888","Verify product details page","firefox","2026-06-01","passed","2026-06-01","Verify Product Page","verifyProductPage.spec.ts","",""
"","2592","Remove product from cart","webkit","2026-06-01","passed","2026-06-01","Verify Product Page","verifyProductPage.spec.ts","",""
"","1589","Add single product to cart","chromium","2026-06-01","passed","2026-06-01","Verify Product Page","verifyProductPage.spec.ts","",""
"","1911","Verify all products are displayed after login","firefox","2026-06-01","passed","2026-06-01","Verify Product Page","verifyProductPage.spec.ts","",""
"","2033","Verify all products are displayed after login","webkit","2026-06-01","passed","2026-06-01","Verify Product Page","verifyProductPage.spec.ts","",""
